STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DT32,DX32,PRCP,SNOW,TMAX,TMIN
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-02,4,22,10,2.94,8.4,41.3,27.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-03,3,22,2,3.26,5.3,47.5,30
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-04,0,9,1,2.2,0.8,54.8,35.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-05,0,0,0,4.22,0,62.3,43.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-06,0,0,0,3.34,0,77.5,58.9
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-07,0,0,0,1.51,0,80,61.2
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-08,0,0,0,5.26,0,76.2,58.8
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-09,0,0,0,4.26,0,71.2,54
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-10,0,1,0,1.63,0,62.2,43.9
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-11,7,14,3,2.59,8.6,44.5,33.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1997-12,6,24,5,2.42,10.7,38.5,28.3
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1998-01,7,23,10,3.93,5,41,29.4
